,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
4054,San Francisco,California,San Francisco,11216000,eastwick,Advertising & Marketing,55,4053,38219,2,71.0017,4,5,CA,Eastwick
4062,Houston,Texas,Houston,23528659,topspot-internet-marketing,Advertising & Marketing,91,4061,1163,7,70.793,22,5,TX,TopSpot Internet Marketing
4072,Atlanta,Georgia,Atlanta,16604439,scout,Advertising & Marketing,113,4071,37918,2,70.3291,29,5,GA,SCOUT
4081,Minneapolis,Minnesota,Minneapolis,35274000,knock,Advertising & Marketing,61,4080,20039,6,70.0444,13,5,MN,KNOCK
4108,Rochester,New York,"Rochester, NY",14705660,butlertill-media-communications,Advertising & Marketing,101,4107,18250,6,69.2157,71,5,NY,Butler/Till Media & Communications
4138,Chicago,Illinois,Chicago,20231000,opinionlab,Advertising & Marketing,140,4137,24273,4,67.8225,17,5,IL,OpinionLab
4241,Carlsbad,California,San Diego,25840159,san-diego-sign-company,Advertising & Marketing,137,4239,21928,5,63.9817,11,5,CA,San Diego Sign Company
4269,Austin,Texas,Austin,48109436,builder-homesite,Advertising & Marketing,152,4267,6012,7,63.2811,18,5,TX,Builder Homesite
4296,New York,New York,New York City,24417600,prosek-partners,Advertising & Marketing,102,4294,2717,8,62.5705,9,5,NY,Prosek Partners
4315,Sandy Hook,Connecticut,"Bridgeport-Stamford-Norwalk, CT",8662000,mediassociates,Advertising & Marketing,40,4313,25069,3,62.0277,58,5,CT,Mediassociates
4324,Boston,Massachusetts,Boston,13106000,pan-communications,Advertising & Marketing,95,4322,11840,2,61.5631,6,5,MA,PAN Communications
4342,Miami,Florida,Miami,11866673,max-borges-agency,Advertising & Marketing,65,4340,1696,8,60.88,1,5,FL,Max Borges Agency
4384,Malvern,Pennsylvania,Philadelphia,42440324,stream-companies,Advertising & Marketing,135,4382,1158,10,59.6847,49,5,PA,Stream Companies
4386,Farmington,Utah,"Ogden-Clearfield, UT",20108000,thomasarts,Advertising & Marketing,131,4384,18413,7,59.5367,204,5,UT,ThomasARTS
4403,Greensboro,North Carolina,"Greensboro-High Point, NC",8572000,web-decisions,Advertising & Marketing,57,4401,21700,5,59.0556,287,5,NC,Web Decisions
4421,Charlotte,North Carolina,Charlotte,8617296,red-moon-marketing,Advertising & Marketing,28,4419,3043,6,58.5806,43,5,NC,Red Moon Marketing
4431,Chicago,Illinois,Chicago,74344486,vsa-partners,Advertising & Marketing,282,4429,25971,3,58.3812,17,5,IL,VSA Partners
4451,New York,New York,New York City,16723100,sullivan,Advertising & Marketing,71,4449,4540,7,57.7344,9,5,NY,Sullivan
