,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
1616,1616,Las Vegas,Nevada,"Las Vegas-Paradise, NV",2322000,socialradius,Advertising & Marketing,11,1626,23696,1,241.4706,57,5,NV,SocialRadius
1624,1624,Culver City,California,Los Angeles,8300320,adsupply,Advertising & Marketing,25,1634,23701,1,239.4375,2,5,CA,AdSupply
1646,1646,Pleasant Grove,Utah,"Provo-Orem, UT",2143095,riser,Advertising & Marketing,16,1657,23709,1,235.2106,48,5,UT,Riser
1652,1652,Portland,Maine,"Portland-South Portland-Biddeford, ME",2591768,kpi-direct,Advertising & Marketing,20,1663,21610,2,234.2246,98,5,ME,KPI Direct
1695,1695,New York,New York,New York City,20933284,mkg,Advertising & Marketing,41,1706,23723,1,227.3902,9,5,NY,MKG
1696,1696,Denver,Colorado,Denver,3329800,volume-nine,Advertising & Marketing,35,1707,21664,2,227.3496,30,5,CO,Volume Nine
1704,1704,Durham,North Carolina,"Durham, NC",10423714,appia,Advertising & Marketing,51,1715,23725,1,225.9382,509,5,NC,Appia
1713,1713,Greensboro,North Carolina,"Greensboro-High Point, NC",5395000,web-decisions,Advertising & Marketing,35,1724,21700,2,224.8063,287,5,NC,Web Decisions
1720,1720,Delray Beach,Florida,Miami,8261913,derflan,Advertising & Marketing,65,1731,19524,3,223.5163,1,5,FL,Derflan
1725,1725,Beverly,Massachusetts,Boston,6135825,blue-vase-marketing,Advertising & Marketing,94,1736,23732,1,222.4296,6,5,MA,Blue Vase Marketing
1740,1740,Indianapolis,Indiana,"Indianapolis, IN",7652189,main-event-merchandise-group,Advertising & Marketing,25,1751,23738,1,220.1671,81,5,IN,Main Event Merchandise Group
1751,1751,Atlanta,Georgia,Atlanta,2798174,brightwave,Advertising & Marketing,20,1762,21702,2,218.2474,29,5,GA,BrightWave
1752,1752,Sioux Falls,South Dakota,"Sioux Falls, SD",2091428,click-rain,Advertising & Marketing,16,1763,23743,1,218.0632,737,5,SD,Click Rain
1753,1753,Chicago,Illinois,Chicago,6803452,exact-data,Advertising & Marketing,70,1764,20265,3,218.0113,17,5,IL,Exact Data
1758,1758,Singer Island,Florida,Miami,5492226,top-marketing-group,Advertising & Marketing,13,1771,23748,1,216.8055,1,5,FL,T.O.P. Marketing Group
1800,1800,Wellesley,Massachusetts,Boston,2165580,md-connect,Advertising & Marketing,6,1813,23762,1,211.2476,6,5,MA,MD Connect
1823,1823,Reno,Nevada,"Reno, NV",2676611,noble-studios,Advertising & Marketing,29,1836,23771,1,208.4908,1013,5,NV,Noble Studios
1838,1838,New Albany,Ohio,"Columbus, OH",3143185,prism-marketing,Advertising & Marketing,14,1851,23776,1,206.2742,19,5,OH,Prism Marketing
1839,1839,Irvine,California,Los Angeles,5698359,ink-studios,Advertising & Marketing,32,1852,22141,2,206.1754,2,5,CA,INK Studios
1868,1868,Atlanta,Georgia,Atlanta,19053278,force-marketing,Advertising & Marketing,60,1881,1030,5,202.5935,29,5,GA,Force Marketing
1874,1874,Miami,Florida,Miami,7377186,max-borges-agency,Advertising & Marketing,43,1887,1696,5,201.6406,1,5,FL,Max Borges Agency
1876,1876,Charlottesville,Virginia,"Charlottesville, VA",15146979,rimm-kaufman-group,Advertising & Marketing,204,1889,537,3,201.2936,106,5,VA,Rimm-Kaufman Group
1885,1885,San Dimas,California,Los Angeles,37161384,webmetro,Advertising & Marketing,90,1898,1845,4,200.2015,2,5,CA,WebMetro
1888,1888,Deer Park,Illinois,Chicago,3738351,qcss,Advertising & Marketing,200,1901,23792,1,199.5198,17,5,IL,QCSS
1905,1905,Louisville,Kentucky,"Louisville/Jefferson County, KY-IN",7577463,dealer-car-search,Advertising & Marketing,50,1918,23800,1,197.2695,630,5,KY,Dealer Car Search
1909,1909,Nashville,Tennessee,CBSA Metro Region,9551992,advent,Advertising & Marketing,48,1922,5951,2,196.7628,977,5,TN,Advent
1918,1918,Greensboro,North Carolina,"Greensboro-High Point, NC",5214614,sfw,Advertising & Marketing,30,1931,22134,2,195.6513,287,5,NC,SFW
1935,1935,Draper,Utah,Salt Lake City,8799305,seocom,Advertising & Marketing,85,1948,2424,5,194.0504,12,5,UT,SEO.com
1942,1942,Alpharetta,Georgia,Atlanta,3860384,pure-marketing-group,Advertising & Marketing,11,1955,19703,3,193.3897,29,5,GA,Pure Marketing Group
1949,1949,Santa Fe Springs,California,Los Angeles,2807811,exhibit-options,Advertising & Marketing,13,1962,23818,1,192.5099,2,5,CA,Exhibit Options
1958,1958,Charleston,South Carolina,"Charleston-North Charleston, SC",50419113,levelwing,Advertising & Marketing,46,1971,17701,4,191.9036,536,5,SC,Levelwing
1959,1959,Minneapolis,Minnesota,Minneapolis,90664000,olson,Advertising & Marketing,350,1972,21784,5,191.0468,13,5,MN,Olson
1960,1960,Grand Rapids,Michigan,"Grand Rapids-Wyoming, MI",2941160,mindscape-at-hanon-mckendry,Advertising & Marketing,26,1973,21995,2,190.7922,219,5,MI,Mindscape at Hanon McKendry
1962,1962,Beverly Hills,California,Los Angeles,10919047,YURZ,Advertising & Marketing,181,1975,21762,2,190.3844,2,5,CA,YURZ
1988,1988,Southfield,Michigan,Detroit,13572087,prizelogic,Advertising & Marketing,110,2001,21288,2,186.9612,50,5,MI,prizelogic
2013,2013,Las Vegas,Nevada,"Las Vegas-Paradise, NV",7563292,best-rate-referrals,Advertising & Marketing,35,2026,17563,4,184.5817,57,5,NV,Best Rate Referrals
2016,2016,Seattle,Washington,Seattle,3156007,point-it,Advertising & Marketing,21,2029,22291,2,184.4749,23,5,WA,Point It!
2018,2018,Raleigh,North Carolina,"Raleigh-Cary, NC",3775597,alpha-marketing,Advertising & Marketing,18,2031,22015,2,184.322,36,5,NC,Alpha Marketing
2038,2038,Bay Head,New Jersey,New York City,2490000,teknicks,Advertising & Marketing,15,2051,19326,3,181.9198,9,5,NJ,Teknicks
