,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
46,"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,17000000,-12.0,"Goodby, Silverstein & Partners* ",Omnicom
47,Integer Group* [Omnicom],"Lakewood, Colo.",16595000,11.0,Integer Group* ,Omnicom
48,MEC* [WPP],New York,16016900,-3.0,MEC* ,WPP
49,Cramer-Krasselt,Chicago,15656200,2.6,Cramer-Krasselt,Independent
50,MarketStar* [Omnicom],"Ogden, Utah",15584300,9.7,MarketStar* ,Omnicom
51,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",14873600,1.9,George P. Johnson ,Project WorldWide
52,Meredith Xcelerated Marketing [Meredith Corp.],New York,14300000,-15.4,Meredith Xcelerated Marketing ,Meredith Corp.
53,CP&B* [MDC Partners],"Boulder, Colo.",14232200,-5.8,CP&B* ,MDC Partners
54,Acquity Group,Chicago,14101100,32.2,Acquity Group,Independent
55,Martin Agency* [Interpublic],"Richmond, Va.",14100000,-6.0,Martin Agency* ,Interpublic
56,The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.",14000100,-3.5,The Agency Inside Harte-Hanks ,Harte-Hanks
57,Momentum Worldwide* [Interpublic],New York,13614900,13.5,Momentum Worldwide* ,Interpublic
58,DraftFCB Healthcare* [Interpublic],New York,13342000,-2.4,DraftFCB Healthcare* ,Interpublic
59,Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",13340000,-11.1,Ogilvy CommonHealth Worldwide* ,WPP
60,Ogilvy Public Relations* [WPP],New York,13100000,2.3,Ogilvy Public Relations* ,WPP
61,Interbrand* [Omnicom],New York,12800000,2.0,Interbrand* ,Omnicom
62,Carat* [Dentsu],New York,12792000,30.0,Carat* ,Dentsu
63,Horizon Media*,New York,12750000,13.9,Horizon Media*,Independent
64,RPA,"Santa Monica, Calif.",12700000,3.8,RPA,Independent
65,Hill & Knowlton Strategies* [WPP],New York,12625000,1.0,Hill & Knowlton Strategies* ,WPP
66,Organic* [Omnicom],San Francisco,12300000,0.0,Organic* ,Omnicom
67,Campbell Ewald* [Interpublic],"Warren, Mich.",12100000,2.5,Campbell Ewald* ,Interpublic
68,Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",12050000,10.6,Zimmerman Advertising* ,Omnicom
69,Mullen* [Interpublic],Boston,11936700,12.0,Mullen* ,Interpublic
70,GMR Marketing* [Omnicom],"New Berlin, Wis.",11755500,17.6,GMR Marketing* ,Omnicom
71,UM* [Interpublic],New York,11743300,-1.7,UM* ,Interpublic
72,360i* [Dentsu],New York,11600000,12.1,360i* ,Dentsu
73,AKQA* [WPP],San Francisco,11440000,10.0,AKQA* ,WPP
74,MediaCom* [WPP],New York,11429800,0.0,MediaCom* ,WPP
75,Jack Morton Worldwide* [Interpublic],Boston,11300000,18.1,Jack Morton Worldwide* ,Interpublic
76,Arnold Worldwide* [Havas],Boston,11214800,5.8,Arnold Worldwide* ,Havas
77,Proximity Worldwide* [Omnicom],New York,11120800,10.0,Proximity Worldwide* ,Omnicom
78,MSL Group* [Publicis],Paris,11102600,,MSL Group* ,Publicis
79,Deloitte Digital* [Deloitte Touche Tohmatsu],Seattle,11000000,,Deloitte Digital* ,Deloitte Touche Tohmatsu
80,Digitas Health* [Publicis],Philadelphia,11000000,-4.3,Digitas Health* ,Publicis
81,VML* [WPP],"Kansas City, Mo.",10710000,1.2,VML* ,WPP
82,Marketing Arm* [Omnicom],Dallas,10671300,10.0,Marketing Arm* ,Omnicom
83,G2* [WPP],New York,10530700,-10.8,G2* ,WPP
84,Gyro*,New York,10500000,9.1,Gyro*,Independent
85,GolinHarris* [Interpublic],Chicago,10496700,,GolinHarris* ,Interpublic
86,Publicis Modem* [Publicis],Paris,10290000,5.0,Publicis Modem* ,Publicis
87,TracyLocke* [Omnicom],Dallas,10200000,2.0,TracyLocke* ,Omnicom
88,Waggener Edstrom Worldwide,"Bellevue, Wash.",10135200,0.8,Waggener Edstrom Worldwide,Independent
89,CDM New York* [Omnicom],New York,10000000,-9.1,CDM New York* ,Omnicom
90,McCann Health* [Interpublic],New York,10000000,4.4,McCann Health* ,Interpublic
