,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
200,"Venables, Bell & Partners",San Francisco,38879000,29.8,"Venables, Bell & Partners",Independent
201,Mars Advertising,"Southfield, Mich.",38672000,3.8,Mars Advertising,Independent
202,SMG Performance Marketing* [Publicis],New York,38295000,3.5,SMG Performance Marketing ,Publicis
203,Resolution Media* [Omnicom],Chicago,38042000,21.0,Resolution Media ,Omnicom
204,E-Graphics Worldwide* [Omnicom],"Long Beach, Calif.",37740000,2.0,E-Graphics Worldwide ,Omnicom
205,HL Group* [MDC Partners],New York,37618000,26.0,HL Group ,MDC Partners
206,Definition 6,Atlanta,37609000,3.4,Definition 6,Independent
207,Ackerman McQueen,Oklahoma City,37590000,27.7,Ackerman McQueen,Independent
208,Marc USA,Pittsburgh,37200000,15.8,Marc USA,Independent
209,Bader Rutter & Associates,"Brookfield, Wis.",37028000,12.8,Bader Rutter & Associates,Independent
210,ICR,"Norwalk, Conn.",36554000,14.1,ICR,Independent
211,Grizzard Communications Group* [Omnicom],Atlanta,36435000,5.3,Grizzard Communications Group ,Omnicom
212,Anderson Direct Marketing,"Poway, Calif.",36361000,39.8,Anderson Direct Marketing,Independent
213,Dachis Group*,"Austin, Texas",36260000,14.5,Dachis Group,Independent
214,A.B. Data,Milwaukee,36129000,38.4,A.B. Data,Independent
215,Spark SMG* [Publicis],Chicago,35958000,7.7,Spark SMG ,Publicis
216,Marketing Werks,Chicago,35920000,1.9,Marketing Werks,Independent
217,Eric Mower & Associates,"Syracuse, N.Y.",35397000,4.6,Eric Mower & Associates,Independent
218,Allen & Gerritsen,Boston,35363000,11.0,Allen & Gerritsen,Independent
219,BGT Partners,"Hallandale Beach, Fla.",35000000,4.3,BGT Partners,Independent
220,Team Epic* [Dentsu],"Norwalk, Conn.",34800000,4.8,Team Epic ,Dentsu
221,Allied Integrated Marketing,"Cambridge, Mass.",34704000,16.2,Allied Integrated Marketing,Independent
222,Pop* [Advance Publications],Seattle,34408000,34.5,Pop ,Advance Publications
223,Saatchi & Saatchi X* [Publicis],"Springdale, Ark.",34201000,1.5,Saatchi & Saatchi X ,Publicis
224,Mother New York [Mother Holdings],New York,34000000,4.0,Mother New York ,Mother Holdings
225,Ruder Finn [Ruder Finn Group],New York,33704000,-10.8,Ruder Finn ,Ruder Finn Group
226,David & Goliath*,"El Segundo, Calif.",33557000,16.1,David & Goliath,Independent
227,Anomaly* [MDC Partners],New York,33550000,85.4,Anomaly ,MDC Partners
228,Colle & McVoy* [MDC Partners],Minneapolis,33294000,13.4,Colle & McVoy ,MDC Partners
229,Source Marketing* [MDC Partners],"Norwalk, Conn.",33100000,22.0,Source Marketing ,MDC Partners
230,Digitaria* [WPP],San Diego,33000000,37.5,Digitaria ,WPP
231,The Search Agency*,Los Angeles,32987000,2.7,The Search Agency,Independent
232,DKC,New York,32897000,20.0,DKC,Independent
233,Bartle Bogle Hegarty* [Publicis],London,32692000,-14.2,Bartle Bogle Hegarty ,Publicis
234,Geary LSF Group,San Francisco,32574000,,Geary LSF Group,Independent
235,Acronym,New York,32500000,4.8,Acronym,Independent
236,Bravo Group* [WPP],Miami,32000000,1.6,Bravo Group ,WPP
237,Brunner,Pittsburgh,32000000,2.4,Brunner,Independent
238,Laughlin Constable,Milwaukee,31750000,6.4,Laughlin Constable,Independent
239,McKinney [Cheil Worldwide],"Durham, N.C.",31609000,-15.5,McKinney ,Cheil Worldwide
240,Mercury Media,"Santa Monica, Calif.",31563000,16.3,Mercury Media,Independent
241,Quigley-Simpson,Los Angeles,31511000,4.5,Quigley-Simpson,Independent
242,Global Advertising Strategies,New York,31500000,18.9,Global Advertising Strategies,Independent
243,Marina Maher Communications* [Omnicom],New York,31350000,4.5,Marina Maher Communications ,Omnicom
244,BVK,Milwaukee,31300000,-2.8,BVK,Independent
245,Brodeur Partners*,Boston,30600000,,Brodeur Partners,Independent
246,Covario*,San Diego,30451000,30.8,Covario,Independent
247,Kinetic* [WPP],London,30300000,4.8,Kinetic ,WPP
248,Davis Elen Advertising,Los Angeles,30187000,3.3,Davis Elen Advertising,Independent
249,Cramer,"Norwood, Mass.",30000000,3.4,Cramer,Independent
250,Razorfish Healthware* [Publicis],New York,30000000,15.4,Razorfish Healthware ,Publicis
251,Translation,New York,30000000,57.9,Translation,Independent
252,Star Group*,"Voorhees, N.J.",29989000,25.3,Star Group,Independent
253,Doremus* [Omnicom],New York,29970000,25.0,Doremus ,Omnicom
254,LatinWorks* [Omnicom],"Austin, Texas",29655000,25.7,LatinWorks ,Omnicom
255,Qorvis Communications*,Washington,29500000,0.0,Qorvis Communications,Independent
256,Iostudio,"Nashville, Tenn.",29400000,7.8,Iostudio,Independent
257,Rockfish* [WPP],"Rogers, Ark.",29376000,35.0,Rockfish ,WPP
